error_family,sample_size,policy_id,threshold,coverage,false_safe_rate
diffuse_low_error,512,scrambled_gibbs:beta=0.25,0.05,0.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=0.25,0.1,0.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=0.5,-0.2,1.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=0.5,-0.1,1.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=0.5,-0.05,1.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=0.5,0.0,0.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=0.5,0.025,0.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=0.5,0.05,0.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=0.5,0.1,0.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=1,-0.2,1.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=1,-0.1,1.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=1,-0.05,1.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=1,0.0,0.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=1,0.025,0.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=1,0.05,0.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=1,0.1,0.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=2,-0.2,1.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=2,-0.1,1.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=2,-0.05,1.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=2,0.0,1.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=2,0.025,0.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=2,0.05,0.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=2,0.1,0.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=4,-0.2,1.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=4,-0.1,1.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=4,-0.05,1.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=4,0.0,0.953369140625,0.0
diffuse_low_error,512,scrambled_gibbs:beta=4,0.025,0.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=4,0.05,0.0,0.0
diffuse_low_error,512,scrambled_gibbs:beta=4,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=0.25,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=0.25,-0.1,1.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=0.25,-0.05,1.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=0.25,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=0.25,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=0.25,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=0.25,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=0.5,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=0.5,-0.1,1.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=0.5,-0.05,1.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=0.5,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=0.5,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=0.5,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=0.5,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=1,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=1,-0.1,1.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=1,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=1,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=1,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=1,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=1,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=2,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=2,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=2,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=2,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=2,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=2,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=2,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=4,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=4,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=4,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=4,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=4,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=4,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,gibbs:beta=4,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=2,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=2,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=2,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=2,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=2,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=2,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=2,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=4,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=4,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=4,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=4,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=4,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=4,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=4,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=8,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=8,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=8,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=8,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=8,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=8,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=8,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=16,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=16,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=16,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=16,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=16,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=16,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=16,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=32,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=32,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=32,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=32,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=32,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=32,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,best_of_n:n=32,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.1,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.1,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.1,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.1,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.1,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.1,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.1,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.25,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.25,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.25,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.25,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.25,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.25,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.25,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.5,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.5,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.5,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.5,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.5,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.5,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.5,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.75,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.75,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.75,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.75,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.75,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.75,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=0.75,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=1,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=1,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=1,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=1,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=1,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=1,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,top_spike:alpha=1,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=0.25,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=0.25,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=0.25,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=0.25,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=0.25,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=0.25,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=0.25,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=0.5,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=0.5,-0.1,0.006103515625,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=0.5,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=0.5,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=0.5,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=0.5,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=0.5,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=1,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=1,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=1,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=1,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=1,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=1,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=1,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=2,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=2,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=2,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=2,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=2,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=2,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=2,0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=4,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=4,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=4,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=4,0.0,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=4,0.025,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=4,0.05,0.0,0.0
heteroskedastic_proxy_coupled,32,scrambled_gibbs:beta=4,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=0.25,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=0.25,-0.1,1.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=0.25,-0.05,1.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=0.25,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=0.25,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=0.25,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=0.25,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=0.5,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=0.5,-0.1,1.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=0.5,-0.05,1.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=0.5,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=0.5,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=0.5,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=0.5,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=1,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=1,-0.1,1.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=1,-0.05,1.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=1,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=1,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=1,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=1,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=2,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=2,-0.1,1.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=2,-0.05,0.350830078125,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=2,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=2,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=2,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=2,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=4,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=4,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=4,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=4,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=4,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=4,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,gibbs:beta=4,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=2,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=2,-0.1,1.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=2,-0.05,0.984130859375,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=2,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=2,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=2,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=2,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=4,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=4,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=4,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=4,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=4,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=4,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=4,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=8,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=8,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=8,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=8,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=8,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=8,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=8,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=16,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=16,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=16,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=16,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=16,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=16,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=16,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=32,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=32,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=32,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=32,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=32,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=32,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,best_of_n:n=32,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.1,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.1,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.1,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.1,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.1,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.1,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.1,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.25,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.25,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.25,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.25,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.25,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.25,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.25,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.5,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.5,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.5,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.5,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.5,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.5,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.5,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.75,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.75,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.75,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.75,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.75,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.75,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=0.75,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=1,-0.2,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=1,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=1,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=1,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=1,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=1,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,top_spike:alpha=1,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=0.25,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=0.25,-0.1,1.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=0.25,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=0.25,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=0.25,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=0.25,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=0.25,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=0.5,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=0.5,-0.1,1.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=0.5,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=0.5,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=0.5,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=0.5,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=0.5,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=1,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=1,-0.1,1.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=1,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=1,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=1,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=1,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=1,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=2,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=2,-0.1,1.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=2,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=2,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=2,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=2,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=2,0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=4,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=4,-0.1,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=4,-0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=4,0.0,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=4,0.025,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=4,0.05,0.0,0.0
heteroskedastic_proxy_coupled,128,scrambled_gibbs:beta=4,0.1,0.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=0.25,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=0.25,-0.1,1.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=0.25,-0.05,1.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=0.25,0.0,1.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=0.25,0.025,0.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=0.25,0.05,0.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=0.25,0.1,0.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=0.5,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=0.5,-0.1,1.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=0.5,-0.05,1.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=0.5,0.0,1.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=0.5,0.025,0.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=0.5,0.05,0.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=0.5,0.1,0.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=1,-0.2,1.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=1,-0.1,1.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=1,-0.05,1.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=1,0.0,1.0,0.0
heteroskedastic_proxy_coupled,512,gibbs:beta=1,0.025,0.0,0.0
